COUNT(InvoiceLineId)	InvoiceId
2	1
4	2
6	3
9	4
14	5
1	6
2	7
2	8
4	9
6	10
9	11
14	12
1	13
2	14
2	15
4	16
6	17
9	18
14	19
1	20
2	21
2	22
4	23
6	24
9	25
14	26
1	27
2	28
2	29
4	30
6	31
9	32
14	33
1	34
2	35
2	36
4	37
6	38
9	39
14	40
1	41
2	42
2	43
4	44
6	45
9	46
14	47
1	48
2	49
2	50
4	51
6	52
9	53
14	54
1	55
2	56
2	57
4	58
6	59
9	60
14	61
1	62
2	63
2	64
4	65
6	66
9	67
14	68
1	69
2	70
2	71
4	72
6	73
9	74
14	75
1	76
2	77
2	78
4	79
6	80
9	81
14	82
1	83
2	84
2	85
4	86
6	87
9	88
14	89
1	90
2	91
2	92
4	93
6	94
9	95
14	96
1	97
2	98
2	99
4	100
6	101
9	102
14	103
1	104
2	105
2	106
4	107
6	108
9	109
14	110
1	111
2	112
2	113
4	114
6	115
9	116
14	117
1	118
2	119
2	120
4	121
6	122
9	123
14	124
1	125
2	126
2	127
4	128
6	129
9	130
14	131
1	132
2	133
2	134
4	135
6	136
9	137
14	138
1	139
2	140
2	141
4	142
6	143
9	144
14	145
1	146
2	147
2	148
4	149
6	150
9	151
14	152
1	153
2	154
2	155
4	156
6	157
9	158
14	159
1	160
2	161
2	162
4	163
6	164
9	165
14	166
1	167
2	168
2	169
4	170
6	171
9	172
14	173
1	174
2	175
2	176
4	177
6	178
9	179
14	180
1	181
2	182
2	183
4	184
6	185
9	186
14	187
1	188
2	189
2	190
4	191
6	192
9	193
14	194
1	195
2	196
2	197
4	198
6	199
9	200
14	201
1	202
2	203
2	204
4	205
6	206
9	207
14	208
1	209
2	210
2	211
4	212
6	213
9	214
14	215
1	216
2	217
2	218
4	219
6	220
9	221
14	222
1	223
2	224
2	225
4	226
6	227
9	228
14	229
1	230
2	231
2	232
4	233
6	234
9	235
14	236
1	237
2	238
2	239
4	240
6	241
9	242
14	243
1	244
2	245
2	246
4	247
6	248
9	249
14	250
1	251
2	252
2	253
4	254
6	255
9	256
14	257
1	258
2	259
2	260
4	261
6	262
9	263
14	264
1	265
2	266
2	267
4	268
6	269
9	270
14	271
1	272
2	273
2	274
4	275
6	276
9	277
14	278
1	279
2	280
2	281
4	282
6	283
9	284
14	285
1	286
2	287
2	288
4	289
6	290
9	291
14	292
1	293
2	294
2	295
4	296
6	297
9	298
14	299
1	300
2	301
2	302
4	303
6	304
9	305
14	306
1	307
2	308
2	309
4	310
6	311
9	312
14	313
1	314
2	315
2	316
4	317
6	318
9	319
14	320
1	321
2	322
2	323
4	324
6	325
9	326
14	327
1	328
2	329
2	330
4	331
6	332
9	333
14	334
1	335
2	336
2	337
4	338
6	339
9	340
14	341
1	342
2	343
2	344
4	345
6	346
9	347
14	348
1	349
2	350
2	351
4	352
6	353
9	354
14	355
1	356
2	357
2	358
4	359
6	360
9	361
14	362
1	363
2	364
2	365
4	366
6	367
9	368
14	369
1	370
2	371
2	372
4	373
6	374
9	375
14	376
1	377
2	378
2	379
4	380
6	381
9	382
14	383
1	384
2	385
2	386
4	387
6	388
9	389
14	390
1	391
2	392
2	393
4	394
6	395
9	396
14	397
1	398
2	399
2	400
4	401
6	402
9	403
14	404
1	405
2	406
2	407
4	408
6	409
9	410
14	411
1	412
