Name	InvoiceLineId
For Those About To Rock (We Salute You)	579
Balls to the Wall	1
Balls to the Wall	1154
Fast As a Shark	1728
Restless and Wild	2
Princess of the Dawn	580
Put The Finger On You	3
Inject The Venom	4
Inject The Venom	1155
Snowballed	581
Snowballed	1729
Evil Walks	5
Breaking The Rules	6
Night Of The Long Knives	582
Spellbound	1156
Go Down	1730
Dog Eat Dog	7
Problem Child	583
Overdose	8
Overdose	1157
Hell Ain't A Bad Place To Be	1731
Love In An Elevator	9
Rag Doll	584
What It Takes	1158
Janie's Got A Gun	10
Amazing	1732
Blind Man	585
Deuces Are Wild	11
Deuces Are Wild	1159
Angel	12
Livin' On The Edge	586
All I Really Want	1160
You Oughta Know	1733
Right Through You	13
Forgiven	587
You Learn	1161
Not The Doctor	14
Not The Doctor	1734
Wake Up	588
Sea Of Sorrow	1162
Bleed The Freak	15
I Can't Remember	589
It Ain't Like That	1735
Confusion	16
I Know Somethin (Bout You)	590
Real Thing	1163
Por Causa De Você	17
Por Causa De Você	1736
Ligia	591
Falando De Amor	1164
Angela	18
O Boto (Bôto)	1737
Canta, Canta Mais	592
Master Of Puppets	19
The Unforgiven	1165
Welcome Home (Sanitarium)	20
Welcome Home (Sanitarium)	1738
Cochise	593
Like a Stone	1166
Set It Off	21
Exploder	1739
Hypnotize	594
The Last Remaining Light	1167
Your Time Has Come	22
Doesn't Remind Me	1740
Drown Me Slowly	595
Yesterday To Tomorrow	1168
Dandelion	23
Money	1741
Long Tall Sally	596
C'Mon Everybody	1169
Rock 'N' Roll Music	24
Carol	1742
Good Golly Miss Molly	597
"Spanish moss-""A sound portrait""-Spanish moss"	1170
Moon germs	25
Solo-Panhandler	1743
Do what cha wanna	598
All For You	1171
Super Terrorizer	26
Bored To Tears	1744
A.N.D.R.O.T.A.Z.	599
The Begining... At Last	1172
Heart Of Gold	27
Blood In The Wall	1745
The Beginning...At Last	600
N.I.B.	1173
Evil Woman	28
Tomorrow's Dream	601
Snowblind	1174
Snowblind	1746
Cornucopia	29
Cornucopia	1747
Laguna Sunrise	1748
Under The Sun/Every Day Comes and Goes	1749
Smoked Pork	602
Body Count's In The House	1750
Body Count	1751
A Statistic	1175
Bowels Of The Devil	30
Bowels Of The Devil	1752
KKK Bitch	1753
Voodoo	603
Voodoo	1754
Evil Dick	1755
Body Count Anthem	31
King In Crimson	1756
Chemical Wedding	604
Chemical Wedding	1176
The Tower	1177
Killing Floor	1178
Book Of Thel	1757
Gates Of Urizen	1179
Jerusalem	32
Trupets Of Jericho	1180
Machine Men	1758
The Alchemist	1181
Realword	605
First Time I Met The Blues	1182
Let Me Love You Baby	1759
Stone Crazy	1183
When My Left Eye Jumps	33
When My Left Eye Jumps	1184
Leave My Girl Alone	1760
My Time After Awhile	1185
Jorge Da Capadócia	1761
Prenda Minha	1186
Meditação	34
Meditação	606
Terra	607
Eclipse Oculto	608
"Texto ""Verdade Tropical"""	1187
Bem Devagar	609
Bem Devagar	1762
Saudosismo	610
Carolina	1188
Sozinho	611
Esse Cara	35
Mel	612
Mel	1763
Linha Do Equador	1189
Odara	613
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu	614
Vida Boa	1190
Sozinho (Hitmakers Classic Mix)	1764
Sozinho (Caêdrum 'n' Bass)	615
Vai Passar	1191
Samba De Orly	616
Samba De Orly	1765
Bye, Bye Brasil	36
Atras Da Porta	37
Tatuagem	38
O Que Será (À Flor Da Terra)	617
Morena De Angola	39
Morena De Angola	1192
Apesar De Você	1766
A Banda	40
Minha Historia	618
Com Açúcar E Com Afeto	41
Meu Caro Amigo	42
Meu Caro Amigo	1193
Geni E O Zepelim	619
Geni E O Zepelim	1767
Trocando Em Miúdos	43
Gota D'água	44
Construção / Deus Lhe Pague	620
Mateus Enter	1194
O Cidadão Do Mundo	1768
Etnia	45
Um Passeio No Mundo Livre	621
Samba Do Lado	46
Samba Do Lado	1195
Maracatu Atômico	1769
Sobremesa	47
Manguetown	622
